actionid,userid,targetid,timestamp,feature0,feature1,feature2,feature3,label
0,0,0,0.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
1,0,1,6.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
2,0,2,41.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
3,0,1,49.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
4,0,2,51.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
5,0,3,55.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
6,0,4,59.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
7,0,5,62.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
8,0,6,65.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
9,0,7,113.0,-0.3199914794575269,-0.4357014334929225,1.1088261038304843,12.777234821319588,0
10,0,8,226.0,-0.3199914794575269,-0.4357014334929225,0.6078049413390874,149.45121147129262,0
11,0,9,974.0,-0.3199914794575269,-0.4357014334929225,1.1088261038304843,3.3445227764609475,0
12,0,0,1000.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
13,0,9,1172.0,-0.3199914794575269,-0.4357014334929225,1.1088261038304843,1.1368667659621172,0
14,0,2,1182.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
15,0,1,1185.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
16,0,10,1687.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
17,1,10,7262.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
18,1,1,7266.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
19,1,2,7273.0,-0.3199914794575269,-0.4357014334929225,0.6078049413390874,0.936170765007678,0
20,1,7,7289.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
21,1,0,7299.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
22,1,11,7319.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
23,1,12,7839.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
24,1,11,7846.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
25,2,1,37868.0,-0.3199914794575269,-0.4357014334929225,0.6078049413390874,1.3375627669165564,0
26,3,1,37953.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
27,4,1,37969.0,-0.3199914794575269,-0.4357014334929225,1.1088261038304843,7.157746794595293,0
28,4,3,38018.0,-0.3199914794575269,-0.4357014334929225,0.6078049413390874,0.1333867611899214,0
29,3,10,38113.0,-0.3199914794575269,-0.4357014334929225,0.10678377884769,-0.0673092397645177,0
